Game Title,Console,Price
3-D Tic-Tac-Toe [Atari],PS,23.31
3-D Tic-Tac-Toe [Sears],PS,83.88
The Activision Decathlon,PS,23.94
Adventure [Atari],PS,79.72
Adventure [Sears],PS,111.35
Adventures of Tron,PS,16.10
Air Raid,PS,0.00
Air Raiders,PS,15.02
Air-Sea Battle,PS,26.15
Airlock,PS,17.00
Alien,PS,61.24
Alpha Beam with Ernie,PS,30.75
Amidar,PS,13.34
Arcade Golf,PS,64.24
Arcade Pinball,PS,28.02
Armor Ambush,PS,9.92
Artillery Duel,PS,146.76
Artillery Duel / Chuck Norris Superkicks,PS,44.90
Artillery Duel / Ghost Manor,PS,288.56
Artillery Duel / Spike's Peak,PS,0.00
Assault,PS,0.00
Asteroids,PS,14.06
Astroblast,PS,12.55
Atari 2600 Console,PS,39.76
Atari 2600 Junior,PS,0.00
Atari 2600 System [Vader Black],PS,128.24
Atari Video Cube,PS,82.36
Atlantis II,PS,0.00
Atlantis [Imagic],PS,17.72
BASIC Programming,PS,40.39
BMX Airmaster [Atari],PS,0.00
BMX Airmaster [TNT Games],PS,19.27
Bachelor Party,PS,117.23
Bachelorette Party / Burning Desire,PS,232.97
Backgammon [Atari],PS,18.92
Backgammon [Sears],PS,53.90
Bank Heist,PS,40.41
Barnstorming,PS,22.48
Baseball,PS,41.61
Basic Math,PS,169.51
Basketball [Atari],PS,19.18
Basketball [Sears],PS,90.41
Battlezone,PS,16.42
Beamrider,PS,103.04
Beany Bopper,PS,85.47
Beat 'Em & Eat 'Em,PS,74.43
Beat 'Em & Eat 'Em / Lady in Wading,PS,124.08
Berenstain Bears,PS,374.00
Bermuda Triangle,PS,23.03
Berzerk [Atari],PS,20.89
Berzerk [Sears],PS,25.56
Big Bird's Egg Catch,PS,20.00
Birthday Mania,PS,0.00
Blackjack [Atari] [Picture Label],PS,39.95
Blackjack [Atari] [Text Label],PS,28.30
Blackjack [Sears],PS,35.46
Blueprint,PS,20.11
Boing!,PS,544.90
Bowling [Atari],PS,14.75
Bowling [Sears],PS,20.69
Boxing,PS,18.57
Brain Games [Atari],PS,29.84
Brain Games [Sears],PS,56.52
Breakaway IV,PS,30.32
Breakout,PS,14.99
Breakout [Orange Label],PS,124.03
Bridge,PS,19.22
Buck Rogers: Planet of Zoom,PS,31.44
Bugs,PS,22.71
Bump 'n' Jump,PS,35.14
Bumper Bash,PS,456.48
Burgertime,PS,32.39
Busy Police,PS,0.00
Cakewalk,PS,"1,152.18"
California Games,PS,22.54
Cannon Man,PS,652.94
Canyon Bomber [Atari],PS,20.89
Canyon Bomber [Sears],PS,61.91
Capture,PS,41.17
Carnival,PS,14.49
Casino,PS,13.71
Centipede,PS,18.87
Challenge,PS,35.25
Challenge of Nexar,PS,35.06
Championship Soccer,PS,21.64
Chase the Chuck Wagon,PS,363.17
Checkers [Activision],PS,29.09
Checkers [Sears],PS,0.00
China Syndrome,PS,69.62
Chopper Command,PS,15.26
Chuck Norris Superkicks,PS,217.06
Chuck Norris Superkicks / Ghost Manor,PS,0.00
Chuck Norris Superkicks / Spike's Peak,PS,76.98
Circus Atari,PS,14.62
Circus [Sears],PS,25.56
Circus [Zellers],PS,23.49
Coconuts,PS,33.64
Codebreaker [Atari],PS,22.64
Codebreaker [Sears],PS,31.75
Color Bar Generator,PS,"1,090.43"
Combat,PS,15.87
Commando,PS,23.28
Commando Raid,PS,12.60
Communist Mutants from Space,PS,47.31
Condor Attack,PS,"1,451.71"
Congo Bongo,PS,36.93
Cookie Monster Munch,PS,19.05
Copy Cart,PS,499.99
Cosmic Ark,PS,17.79
Cosmic Commuter,PS,167.90
Cosmic Corridor,PS,110.84
Cosmic Creeps,PS,33.99
Cosmic Swarm,PS,77.99
Crackpots,PS,57.21
Crash Dive,PS,54.91
Crazy Climber,PS,360.84
Cross Force,PS,40.26
Crossbow,PS,12.98
Cruise Missile,PS,15.02
Crypts of Chaos,PS,48.13
Crystal Castles,PS,19.92
Custer's Revenge,PS,169.23
Dare Diver,PS,130.72
Dark Cavern,PS,20.70
Dark Chambers,PS,17.73
Deadly Duck,PS,51.50
Death Trap,PS,100.14
Defender II,PS,36.48
Defender [Atari],PS,12.29
Defender [Sears],PS,13.40
Demolition Herby,PS,170.21
Demon Attack,PS,15.37
Demons to Diamonds [Atari],PS,14.97
Demons to Diamonds [Sears],PS,65.18
Desert Falcon,PS,13.05
Dice Puzzle,PS,107.19
Dig Dug,PS,18.81
Dishaster,PS,84.60
Dodge 'Em,PS,9.53
Dodger Cars,PS,20.68
Dolphin,PS,41.13
