Atari 2600 Game Title,Atari 2600 Game Price
3-D Tic-Tac-Toe [Atari],23.31
3-D Tic-Tac-Toe [Sears],83.88
The Activision Decathlon,23.94
Adventure [Atari],79.72
Adventure [Sears],111.35
Adventures of Tron,16.10
Air Raid,0.00
Air Raiders,15.02
Air-Sea Battle,26.15
Airlock,17.00
Alien,61.24
Alpha Beam with Ernie,30.75
Amidar,13.34
Arcade Golf,64.24
Arcade Pinball,28.02
Armor Ambush,9.92
Artillery Duel,146.76
Artillery Duel / Chuck Norris Superkicks,44.90
Artillery Duel / Ghost Manor,288.56
Artillery Duel / Spike's Peak,0.00
Assault,0.00
Asteroids,14.06
Astroblast,12.43
Atari 2600 Console,39.76
Atari 2600 Junior,0.00
Atari 2600 System [Vader Black],128.24
Atari Video Cube,82.36
Atlantis II,0.00
Atlantis [Imagic],17.72
BASIC Programming,40.39
BMX Airmaster [Atari],0.00
BMX Airmaster [TNT Games],19.27
Bachelor Party,117.23
Bachelorette Party / Burning Desire,232.97
Backgammon [Atari],18.92
Backgammon [Sears],53.90
Bank Heist,40.41
Barnstorming,22.48
Baseball,41.61
Basic Math,169.51
Basketball [Atari],19.18
Basketball [Sears],90.41
Battlezone,15.27
Beamrider,103.04
Beany Bopper,80.90
Beat 'Em & Eat 'Em,74.43
Beat 'Em & Eat 'Em / Lady in Wading,124.08
Berenstain Bears,374.00
Bermuda Triangle,23.03
Berzerk [Atari],20.89
Berzerk [Sears],25.56
Big Bird's Egg Catch,20.00
Birthday Mania,0.00
Blackjack [Atari] [Picture Label],39.95
Blackjack [Atari] [Text Label],28.30
Blackjack [Sears],35.46
Blueprint,20.11
Boing!,544.90
Bowling [Atari],14.75
Bowling [Sears],20.69
Boxing,18.57
Brain Games [Atari],29.84
Brain Games [Sears],56.52
Breakaway IV,30.32
Breakout,14.99
Breakout [Orange Label],124.03
Bridge,19.22
Buck Rogers: Planet of Zoom,31.44
Bugs,22.71
Bump 'n' Jump,35.14
Bumper Bash,456.48
Burgertime,32.39
Busy Police,0.00
Cakewalk,"1,152.18"
California Games,22.54
Cannon Man,652.94
Canyon Bomber [Atari],20.89
Canyon Bomber [Sears],61.91
Capture,41.17
Carnival,14.49
Casino,13.71
Centipede,18.87
Challenge,35.25
Challenge of Nexar,35.06
Championship Soccer,21.64
Chase the Chuck Wagon,363.17
Checkers [Activision],29.09
Checkers [Sears],0.00
China Syndrome,69.62
Chopper Command,15.26
Chuck Norris Superkicks,217.06
Chuck Norris Superkicks / Ghost Manor,0.00
Chuck Norris Superkicks / Spike's Peak,76.98
Circus Atari,14.62
Circus [Sears],25.56
Circus [Zellers],23.49
Coconuts,33.64
Codebreaker [Atari],22.54
Codebreaker [Sears],31.75
Color Bar Generator,"1,090.43"
Combat,15.87
Commando,23.28
Commando Raid,12.60
Communist Mutants from Space,47.31
Condor Attack,"1,451.71"
Congo Bongo,36.93
Cookie Monster Munch,19.05
Copy Cart,499.99
Cosmic Ark,16.58
Cosmic Commuter,167.90
Cosmic Corridor,110.84
Cosmic Creeps,33.99
Cosmic Swarm,77.99
Crackpots,57.21
Crash Dive,54.91
Crazy Climber,360.84
Cross Force,40.26
Crossbow,12.98
Cruise Missile,15.02
Crypts of Chaos,48.13
Crystal Castles,19.92
Custer's Revenge,169.23
Dare Diver,130.72
Dark Cavern,20.70
Dark Chambers,17.73
Deadly Duck,51.50
Death Trap,100.14
Defender II,36.48
Defender [Atari],12.29
Defender [Sears],13.40
Demolition Herby,170.21
Demon Attack,15.37
Demons to Diamonds [Atari],14.97
Demons to Diamonds [Sears],65.18
Desert Falcon,13.05
Dice Puzzle,107.19
Dig Dug,18.81
Dishaster,84.60
Dodge 'Em,9.53
Dodger Cars,20.68
Dolphin,41.13
Donkey Kong Junior [Atari],20.30
Donkey Kong Junior [Coleco],21.76
Donkey Kong [Atari],24.45
Donkey Kong [Coleco],14.24
Double Dragon,107.11
Double Dunk,18.68
Dragon Treasure,46.78
Dragonfire,34.95
Dragonstomper,52.79
Dragster,21.93
E.T. the Extra-Terrestrial,45.73
Earth Attack,49.99
Earth Dies Screaming,43.09
Eggomania,26.44
Eli's Ladder,0.00
Encounter at L-5,22.86
Enduro,26.38
Entombed,57.09
Escape From The Mindmaster,39.07
Espial,431.38
Exocet,0.00
Extra Terrestrials,202.02
Fantastic Voyage,26.73
Farmer Dan,0.00
Fast Eddie,52.51
Fast Food,43.16
Fathom,52.77
Final Approach,81.44
Fire Fighter,22.63
Fire Fly,25.14
Fireball,25.70
Fishing Derby,24.73
Flag Capture [Picture Label],19.99
Flag Capture [Text Label],16.39
Flash Gordon,43.50
Football [Atari],16.06
Football [Sears],19.77
Frankenstein's Monster,77.87
Freeway [Activision],17.77
Freeway [Zellers],0.00
Frogger,20.78
Frogger II: Threeedeep!,158.36
"Frogger, The Official [Starpath]",155.66
Frogs and Flies,12.83
Front Line,78.44
Frontline [Zellers],24.00
Frostbite,57.69
Fun With Numbers [Picture Label],214.99
Fun With Numbers [Text Label],101.35
G.I. Joe: Cobra Strike,44.45
Galaxian,18.36
A Game of Concentration,28.36
Gamma-Attack,0.00
Gangster Alley,17.05
Gas Hog,760.35
Gauntlet,0.00
Ghost Manor,785.99
Ghost Manor/Spike's Peak,32.97
Ghostbusters,44.04
Glacier Patrol,159.55
Glib,218.78
Golf [Atari],20.71
Golf [Sears],47.52
Gopher,26.64
Gorf,13.81
Grand Prix,18.33
Gravitar [Red Label],14.91
Gravitar [Silver Label],234.63
Great Escape,0.00
Gremlins,81.23
Guardian,145.56
Gunslinger,34.99
Gyruss,71.67
H.E.R.O,156.26
Halloween,851.26
Halloween [No Label],0.00
Hangman,22.13
Harbor Escape,0.00
Haunted House [Atari],19.02
Haunted House [Sears],33.89
Home Run,10.19
Human Cannonball,12.84
Hunt & Score,19.66
I Want My Mommy,149.75
Ice Hockey,16.13
Ikari Warriors,20.31
Inca Gold,195.22
Indy 500,60.67
Infiltrate,20.25
International Soccer [M Network],14.74
International Soccer [Telegames],20.50
James Bond 007,53.27
Jawbreaker,85.71
Journey Escape,25.22
Joust,27.60
Jr. Pac-Man,17.93
Jungle Fever / Knight on the Town,175.00
Jungle Hunt,14.36
Kaboom!,21.30
Kangaroo,13.66
Karate [Froggo],36.06
Karate [Ultravision],0.00
Keystone Kapers,35.67
Killer Satellites,49.31
King Kong,116.67
Kool-Aid Man,65.90
Krull,56.94
Kung Fu Superkicks,41.85
Kung-Fu Master,43.20
Laser Blast,15.81
Laser Gates,69.54
Laser Volley,26.64
Lochjaw,835.00
Lock 'N Chase,10.52
London Blitz,79.90
Lost Luggage,32.16
M.A.D.,24.83
MASH,28.40
MagiCard,0.00
Malagai,0.00
Mangia,809.38
Marauder,168.95
Marine Wars,98.15
Mario Bros.,75.67
Master Builder,228.17
Masters of the Universe The Power of He-Man,114.37
Math Gran Prix [Atari],40.49
Math Gran Prix [Sears],599.99
Maze,9.02
Maze Craze: A Game of Cops and Robbers,13.62
Maze Mania,47.52
Mega Force,31.24
Megamania,24.20
Memory Match,62.69
Midnight Magic,15.18
Millipede,19.06
Miner 2049er,81.23
Miner 2049er: Volume II,337.53
Mines of Minos,149.74
Miniature Golf,22.88
Missile Command [Atari],14.61
Missile Command [Sears],30.46
Mogul Maniac,0.00
Montezuma's Revenge,208.41
Moon Patrol,16.06
Moonsweeper,56.51
MotoRodeo,27.32
Motocross Racer,214.56
Mountain King,20.76
Mouse Trap [Atari],12.79
Mouse Trap [Coleco],16.11
Mr. Do!,70.86
Mr. Do's Castle,344.28
Ms. Pac-Man,16.55
Music Machine,"1,824.99"
Name This Game,52.15
Night Driver [Atari],17.35
Night Driver [Sears],22.26
No Escape!,69.25
Obelix,244.96
Ocean City Defender,42.75
Off Your Rocker,0.00
Off the Wall,19.16
Oink!,32.90
Omega Race,94.39
Oscar's Trash Race,25.82
Othello [Atari],14.61
Othello [Sears],60.85
Out of Control,"1,165.63"
Outer Space,36.96
Outlaw,17.11
Pac-Man [Atari],18.25
Pac-Man [Sears],25.80
Party Mix,186.05
Pele's Soccer,17.99
Pengo,177.95
Pepsi Invaders,0.00
Pete Rose Baseball,22.04
Phaser Patrol,52.76
Philly Flasher / Cathouse Blues,159.68
Phoenix,15.99
Picnic,48.01
Piece O' Cake,55.45
Pigs In Space,70.98
Pinball,0.00
Pitfall II: Lost Caverns,87.82
Pitfall!,25.70
Planet Patrol,19.53
Plaque Attack,63.84
Poker Plus,125.52
Polaris,142.58
Pole Position,11.73
Pole Position [Error Label],0.00
Pong Sports,63.85
Pooyan,44.20
Popeye,24.52
Porky's,56.18
Pressure Cooker,86.28
Private Eye,75.02
Q*bert,27.26
Qbert's Qubes,466.29
Quadrun,770.57
Quest for Quintana Roo [Sunrise],130.30
Quest for Quintana Roo [Telegames],42.97
Quick Step,53.89
Rabbit Transit,172.66
Race,36.31
Racquetball,15.36
Radar,0.00
Radar Lock,21.30
Raft Rider,132.98
Raiders of the Lost Ark,20.73
Raiders of the Lost Ark [Error Label],0.00
Ram It,163.89
Rampage,67.52
Reactor,14.39
Realsports Baseball,8.76
Realsports Boxing,12.06
Realsports Football,10.08
Realsports Soccer,15.71
Realsports Tennis,11.38
Realsports Volleyball,11.07
Red Sea Crossing,0.00
Rescue Terra I,360.94
Revenge of the Beefsteak Tomatoes,41.60
Riddle of the Sphinx,14.60
River Patrol,"4,000.00"
River Raid,22.59
River Raid II,50.52
Road Runner,23.54
Robin Hood,79.82
Robin Hood / Sir Lancelot,82.95
Robot Tank,21.81
Roc 'N Rope,34.23
Room of Doom,117.90
Rubik's Cube,272.23
Scuba Diver [Panda],101.75
Scuba Diver [Zellers],29.40
Sea Hawk [Froggo],34.39
Sea Hawk [Panda],135.88
Sea Hawk [Zellers],0.00
Sea Hunt,39.41
Seamonster,"1,323.29"
Seaquest,47.37
Secret Quest,24.76
Sentinel,48.93
Shark Attack,30.63
Shootin' Gallery,46.58
Shuttle Orbiter,196.71
Sir Lancelot,0.00
Skate Boardin',23.45
Skeet Shoot,64.88
Skiing,17.36
Sky Diver,19.13
Sky Jinks,18.49
Sky Skipper,23.89
Slot Machine,19.28
Slot Racers,19.51
Slots,55.49
Smurf Rescue in Gargamel's Castle,37.85
Smurfs Save the Day,0.00
Sneak 'N Peek,21.34
Snoopy and The Red Baron,57.88
Soccer,21.35
Solar Fox,33.16
Solar Storm,57.94
Solaris,16.98
Sorcerer,29.82
Sorcerer's Apprentice,67.11
Space Adventure,0.00
Space Attack,9.38
Space Canyon,368.55
Space Cavern,20.01
Space Chase,23.99
Space Combat,27.45
Space Invaders [Atari],21.00
Space Invaders [Sears],38.44
Space Jockey,10.17
Space Shuttle: A Journey Into Space,66.25
Space Tunnel,"1,317.09"
Space War,15.10
Spacemaster X-7,46.20
Speedway II,30.83
Spelling,49.33
Spider Fighter,24.24
Spider Maze,0.00
Spider-Man,45.87
Spiderdroid,27.28
Spike's Peak,174.99
Spitfire Attack,132.60
Springer,213.42
Sprintmaster,12.82
Spy Hunter,174.77
Squeeze Box,18.00
Sssnake,21.05
Stampede,13.04
Star Fox,21.00
Star Raiders [Atari],18.08
Star Raiders [Sears],32.16
Star Ship,87.24
Star Strike,124.77
Star Trek,55.75
Star Voyager,13.98
Star Wars: Jedi Arena,31.23
Star Wars: Return of the Jedi: Death Star Battle,39.16
Star Wars: The Arcade Game,143.06
Star Wars: The Empire Strikes Back,30.57
Stargate,43.60
