Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Price,2600,Gen,N64,NES,PS,SAT,SCD,SNES,Action,Adventure,Fighting,Misc,Platform,Puzzle,Racing,Role-Playing,Shooter,Simulation,Sports,Strategy,Price_bin_custom_range,Price_bin_custom_label
1981,630000,30000,0,10000,670000,16,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"(10, 20]",2
1981,360000,20000,0,0,390000,17,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"(10, 20]",2
1981,740000,40000,0,10000,790000,61,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"(40, 80]",4
1981,150000,10000,0,0,170000,9,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"(0, 10]",1
1980,4000000,260000,0,50000,4310000,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"(10, 20]",2
1981,290000,20000,0,0,310000,12,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"(10, 20]",2
1982,320000,20000,0,0,340000,40,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"(20, 40]",3
1981,400000,20000,0,0,430000,22,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"(20, 40]",3
1982,580000,30000,0,10000,620000,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"(10, 20]",2
1984,260000,10000,0,0,270000,103,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"(80, 140]",5
1980,720000,40000,0,10000,770000,18,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"(10, 20]",2
1980,250000,20000,0,0,270000,19,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"(10, 20]",2
1982,370000,20000,0,0,390000,35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"(20, 40]",3
1981,550000,30000,0,10000,590000,32,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"(20, 40]",3
1981,320000,20000,0,0,340000,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"(10, 20]",2
1981,1260000,80000,0,10000,1360000,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"(10, 20]",2
1982,470000,30000,0,10000,500000,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"(10, 20]",2
1987,440000,20000,0,0,470000,23,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"(20, 40]",3
1982,370000,20000,0,0,400000,36,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"(20, 40]",3
1981,990000,50000,0,10000,1050000,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"(10, 20]",2
1983,720000,40000,0,10000,770000,19,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"(10, 20]",2
1981,220000,10000,0,0,240000,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"(10, 20]",2
1981,210000,10000,0,0,220000,51,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"(40, 80]",4
1982,150000,10000,0,0,170000,100,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"(80, 140]",5
1987,420000,20000,0,0,450000,36,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"(20, 40]",3
1981,1990000,120000,0,20000,2130000,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"(10, 20]",2
1987,240000,10000,0,0,260000,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"(10, 20]",2
1982,1520000,100000,0,20000,1640000,18,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"(10, 20]",2
1983,270000,20000,0,0,290000,41,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"(40, 80]",4
1989,450000,20000,0,10000,470000,107,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"(80, 140]",5
1981,350000,20000,0,0,370000,34,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"(20, 40]",3
1982,810000,50000,0,10000,870000,26,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"(20, 40]",3
1981,320000,20000,0,0,340000,26,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"(20, 40]",3
1981,270000,20000,0,0,290000,43,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"(40, 80]",4
1981,300000,20000,0,0,330000,25,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"(20, 40]",3
1982,300000,20000,0,0,320000,77,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"(40, 80]",4
1981,2060000,120000,0,20000,2200000,20,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"(10, 20]",2
1981,330000,20000,0,0,360000,12,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"(10, 20]",2
1981,220000,10000,0,0,240000,78,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"(40, 80]",4
1983,320000,20000,0,0,340000,57,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"(40, 80]",4
1982,720000,50000,0,10000,770000,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"(10, 20]",2
1985,420000,30000,0,0,450000,44,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"(40, 80]",4
1981,450000,30000,0,0,480000,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"(10, 20]",2
1983,430000,30000,0,0,460000,81,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"(80, 140]",5
1980,460000,30000,0,10000,490000,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"(10, 20]",2
1981,420000,30000,0,0,450000,85,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"(80, 140]",5
1982,1010000,60000,0,10000,1080000,27,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"(20, 40]",3
1983,720000,50000,0,10000,780000,17,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"(10, 20]",2
1982,1030000,60000,0,10000,1100000,14,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"(10, 20]",2
1980,1070000,70000,0,10000,1150000,21,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"(20, 40]",3
1982,670000,40000,0,10000,720000,13,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"(10, 20]",2
1982,620000,40000,0,10000,660000,35,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"(20, 40]",3
1981,650000,40000,0,10000,690000,116,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"(80, 140]",5
1982,130000,10000,0,0,140000,55,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"(40, 80]",4
1987,600000,40000,0,10000,650000,43,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"(40, 80]",4
1981,370000,20000,0,0,390000,15,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"(10, 20]",2
1982,1480000,90000,0,20000,1590000,75,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"(40, 80]",4
1981,1030000,60000,0,10000,1100000,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"(20, 40]",3
1983,470000,30000,0,10000,500000,15,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"(10, 20]",2
1983,450000,30000,0,10000,480000,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"(10, 20]",2
1982,1050000,60000,0,10000,1120000,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"(10, 20]",2
