Name,Platform LabelCode,Year,Genre LabelCode,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Console,Game Title,Price,Mean,Median,Platform_0,Platform_1,Platform_2,Platform_3,Platform_4,Platform_5,Platform_6,Platform_7,Genre_0,Genre_1,Genre_2,Genre_3,Genre_4,Genre_5,Genre_6,Genre_7,Genre_8,Genre_9,Genre_10,Genre_11
ADVENTURES OF TRON,0,1981,0,Mattel Interactive,630000,30000,0,10000,670000,2600,ADVENTURES OF TRON,16,False,False,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
AIRLOCK,0,1981,0,Data Age,360000,20000,0,0,390000,2600,AIRLOCK,17,False,False,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ALIEN,0,1981,0,20th Century Fox Video Games,740000,40000,0,10000,790000,2600,ALIEN,61,True,True,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ARMOR AMBUSH,0,1981,0,Mattel Interactive,150000,10000,0,0,170000,2600,ARMOR AMBUSH,9,False,False,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ASTEROIDS,0,1980,8,Atari,4000000,260000,0,50000,4310000,2600,ASTEROIDS,14,False,False,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ASTROBLAST,0,1981,0,Mattel Interactive,290000,20000,0,0,310000,2600,ASTROBLAST,12,False,False,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
BANK HEIST,0,1982,0,20th Century Fox Video Games,320000,20000,0,0,340000,2600,BANK HEIST,40,True,True,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
BARNSTORMING,0,1981,0,Activision,400000,20000,0,0,430000,2600,BARNSTORMING,22,False,False,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
BATTLEZONE,0,1982,8,Atari,580000,30000,0,10000,620000,2600,BATTLEZONE,16,False,False,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
BEAMRIDER,0,1984,6,Activision,260000,10000,0,0,270000,2600,BEAMRIDER,103,True,True,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
BOXING,0,1980,2,Activision,720000,40000,0,10000,770000,2600,BOXING,18,False,False,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
BRIDGE,0,1980,3,Activision,250000,20000,0,0,270000,2600,BRIDGE,19,False,False,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
BUMP N JUMP,0,1982,6,Mattel Interactive,370000,20000,0,0,390000,2600,BUMP N JUMP,35,False,True,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
BURGERTIME,0,1981,5,Mattel Interactive,550000,30000,0,10000,590000,2600,BURGERTIME,32,False,True,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
CARNIVAL,0,1981,8,Coleco,320000,20000,0,0,340000,2600,CARNIVAL,14,False,False,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
CENTIPEDE,0,1981,8,Atari,1260000,80000,0,10000,1360000,2600,CENTIPEDE,18,False,False,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
CHOPPER COMMAND,0,1982,8,Activision,470000,30000,0,10000,500000,2600,CHOPPER COMMAND,15,False,False,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
COMMANDO,0,1987,0,Activision,440000,20000,0,0,470000,2600,COMMANDO,23,False,False,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
CONGO BONGO,0,1982,0,Sega,370000,20000,0,0,400000,2600,CONGO BONGO,36,False,True,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
COSMIC ARK,0,1981,8,Imagic,990000,50000,0,10000,1050000,2600,COSMIC ARK,17,False,False,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
CRYSTAL CASTLES,0,1983,0,Atari,720000,40000,0,10000,770000,2600,CRYSTAL CASTLES,19,False,False,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
DARK CAVERN,0,1981,8,Mattel Interactive,220000,10000,0,0,240000,2600,DARK CAVERN,20,False,False,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
DEADLY DUCK,0,1981,8,20th Century Fox Video Games,210000,10000,0,0,220000,2600,DEADLY DUCK,51,True,True,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
DEATH TRAP,0,1982,0,Avalon Interactive,150000,10000,0,0,170000,2600,DEATH TRAP,100,True,True,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
DEFENDER II,0,1987,8,Atari,420000,20000,0,0,450000,2600,DEFENDER II,36,False,True,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
DEMON ATTACK,0,1981,8,Imagic,1990000,120000,0,20000,2130000,2600,DEMON ATTACK,15,False,False,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
DESERT FALCON,0,1987,8,Atari,240000,10000,0,0,260000,2600,DESERT FALCON,13,False,False,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
DIG DUG,0,1982,5,Atari,1520000,100000,0,20000,1640000,2600,DIG DUG,18,False,False,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
DOLPHIN,0,1983,0,Activision,270000,20000,0,0,290000,2600,DOLPHIN,41,True,True,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
DOUBLE DRAGON,0,1989,0,Activision,450000,20000,0,10000,470000,2600,DOUBLE DRAGON,107,True,True,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
DRAGONFIRE,0,1981,0,Imagic,350000,20000,0,0,370000,2600,DRAGONFIRE,34,False,True,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ENDURO,0,1982,3,Quelle,810000,50000,0,10000,870000,2600,ENDURO,26,False,False,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
FANTASTIC VOYAGE,0,1981,0,20th Century Fox Video Games,320000,20000,0,0,340000,2600,FANTASTIC VOYAGE,26,False,False,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
FAST FOOD,0,1981,0,Unknown,270000,20000,0,0,290000,2600,FAST FOOD,43,True,True,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
FIREBALL,0,1981,0,Starpath Corp.,300000,20000,0,0,330000,2600,FIREBALL,25,False,False,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
FRANKENSTEINS MONSTER,0,1982,0,Data Age,300000,20000,0,0,320000,2600,FRANKENSTEINS MONSTER,77,True,True,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
