Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
ACTION FORCE,2600,1982,Action,CPG Products,500000.0,30000.0,,10000.0,540000
ADVENTURES OF TRON,2600,1981,Action,Mattel Interactive,630000.0,30000.0,,10000.0,670000
AIR RAID,2600,1981,Action,Men-A-Vision,720000.0,40000.0,,10000.0,770000
AIRLOCK,2600,1981,Action,Data Age,360000.0,20000.0,,,390000
ALIEN,2600,1981,Action,20th Century Fox Video Games,740000.0,40000.0,,10000.0,790000
ALIENS RETURN,2600,1982,Action,ITT Family Games,320000.0,20000.0,,,340000
ARMOR AMBUSH,2600,1981,Action,Mattel Interactive,150000.0,10000.0,,,170000
ASSAULT,2600,1982,Action,Bomb,210000.0,10000.0,,,220000
ASTEROIDS,2600,1980,Shooter,Atari,4000000.0,260000.0,,50000.0,4310000
ASTROBLAST,2600,1981,Action,Mattel Interactive,290000.0,20000.0,,,310000
ATLANTIS,2600,1981,Shooter,Imagic,1180000.0,80000.0,,10000.0,1270000
BANK HEIST,2600,1982,Action,20th Century Fox Video Games,320000.0,20000.0,,,340000
BARNSTORMING,2600,1981,Action,Activision,400000.0,20000.0,,,430000
BATTLEZONE,2600,1982,Shooter,Atari,580000.0,30000.0,,10000.0,620000
BEAMRIDER,2600,1984,Racing,Activision,260000.0,10000.0,,,270000
BERZERK,2600,1981,Shooter,Atari,680000.0,40000.0,,10000.0,730000
BOXING,2600,1980,Fighting,Activision,720000.0,40000.0,,10000.0,770000
BRIDGE,2600,1980,Misc,Activision,250000.0,20000.0,,,270000
BUMP N JUMP,2600,1982,Racing,Mattel Interactive,370000.0,20000.0,,,390000
BURGERTIME,2600,1981,Puzzle,Mattel Interactive,550000.0,30000.0,,10000.0,590000
CARNIVAL,2600,1981,Shooter,Coleco,320000.0,20000.0,,,340000
CENTIPEDE,2600,1981,Shooter,Atari,1260000.0,80000.0,,10000.0,1360000
CHECKERS,2600,1980,Misc,Atari,220000.0,10000.0,,,240000
CHOPPER COMMAND,2600,1982,Shooter,Activision,470000.0,30000.0,,10000.0,500000
COMMANDO,2600,1987,Action,Activision,440000.0,20000.0,,,470000
CONGO BONGO,2600,1982,Action,Sega,370000.0,20000.0,,,400000
COSMIC ARK,2600,1981,Shooter,Imagic,990000.0,50000.0,,10000.0,1050000
CRAZY CLIMBER,2600,1981,Action,Atari,210000.0,10000.0,,,220000
CRYSTAL CASTLES,2600,1983,Action,Atari,720000.0,40000.0,,10000.0,770000
