,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
0,Action Force,2600,1982,Action,CPG Products,"$500,000","$30,000",$0,"$10,000","$540,000"
2,Adventures of Tron,2600,1981,Action,Mattel Interactive,"$630,000","$30,000",$0,"$10,000","$670,000"
3,Air Raid,2600,1981,Action,Men-A-Vision,"$720,000","$40,000",$0,"$10,000","$770,000"
5,Airlock,2600,1981,Action,Data Age,"$360,000","$20,000",$0,$0,"$390,000"
6,Alien,2600,1981,Action,20th Century Fox Video Games,"$740,000","$40,000",$0,"$10,000","$790,000"
7,Alien's Return,2600,1982,Action,ITT Family Games,"$320,000","$20,000",$0,$0,"$340,000"
8,Armor Ambush,2600,1981,Action,Mattel Interactive,"$150,000","$10,000",$0,$0,"$170,000"
9,Assault,2600,1982,Action,Bomb,"$210,000","$10,000",$0,$0,"$220,000"
10,Asteroids,2600,1980,Shooter,Atari,"$4,000,000","$260,000",$0,"$50,000","$4,310,000"
11,Astroblast,2600,1981,Action,Mattel Interactive,"$290,000","$20,000",$0,$0,"$310,000"
12,Atlantis,2600,1981,Shooter,Imagic,"$1,180,000","$80,000",$0,"$10,000","$1,270,000"
13,Bank Heist,2600,1982,Action,20th Century Fox Video Games,"$320,000","$20,000",$0,$0,"$340,000"
14,Barnstorming,2600,1981,Action,Activision,"$400,000","$20,000",$0,$0,"$430,000"
15,Battlezone,2600,1982,Shooter,Atari,"$580,000","$30,000",$0,"$10,000","$620,000"
16,Beamrider,2600,1984,Racing,Activision,"$260,000","$10,000",$0,$0,"$270,000"
17,Berzerk,2600,1981,Shooter,Atari,"$680,000","$40,000",$0,"$10,000","$730,000"
18,Boxing,2600,1980,Fighting,Activision,"$720,000","$40,000",$0,"$10,000","$770,000"
20,Bridge,2600,1980,Misc,Activision,"$250,000","$20,000",$0,$0,"$270,000"
21,Bump 'n' Jump,2600,1982,Racing,Mattel Interactive,"$370,000","$20,000",$0,$0,"$390,000"
22,BurgerTime,2600,1981,Puzzle,Mattel Interactive,"$550,000","$30,000",$0,"$10,000","$590,000"
23,Carnival,2600,1981,Shooter,Coleco,"$320,000","$20,000",$0,$0,"$340,000"
24,Centipede,2600,1981,Shooter,Atari,"$1,260,000","$80,000",$0,"$10,000","$1,360,000"
25,Checkers,2600,1980,Misc,Atari,"$220,000","$10,000",$0,$0,"$240,000"
26,Chopper Command,2600,1982,Shooter,Activision,"$470,000","$30,000",$0,"$10,000","$500,000"
29,Commando,2600,1987,Action,Activision,"$440,000","$20,000",$0,$0,"$470,000"
30,Congo Bongo,2600,1982,Action,Sega,"$370,000","$20,000",$0,$0,"$400,000"
31,Cosmic Ark,2600,1981,Shooter,Imagic,"$990,000","$50,000",$0,"$10,000","$1,050,000"
32,Crazy Climber,2600,1981,Action,Atari,"$210,000","$10,000",$0,$0,"$220,000"
33,Crystal Castles,2600,1983,Action,Atari,"$720,000","$40,000",$0,"$10,000","$770,000"
34,Custer's Revenge,2600,1981,Action,Mystique,"$760,000","$50,000",$0,"$10,000","$820,000"
35,Dark Cavern,2600,1981,Shooter,Mattel Interactive,"$220,000","$10,000",$0,$0,"$240,000"
36,Deadly Duck,2600,1981,Shooter,20th Century Fox Video Games,"$210,000","$10,000",$0,$0,"$220,000"
37,Death Trap,2600,1982,Action,Avalon Interactive,"$150,000","$10,000",$0,$0,"$170,000"
