Nintendo 64 Game Title,Nintendo 64 Game Price
007: The World Is Not Enough,36.51
007: The World Is Not Enough [Grey],43.97
1080 Snowboarding,39.60
1080 Snowboarding [Not For Resale],0.00
1080 Snowboarding [Player's Choice],34.58
Aero Fighters Assault,34.61
AeroGauge,40.90
Aidyn Chronicles: The First Mage,55.80
Aidyn Chronicles: The First Mage [Grey],199.99
All-Star Baseball 2000,18.31
All-Star Baseball 2001,27.49
All-Star Baseball 99,12.31
All-Star Tennis '99,48.68
Armorines: Project S.W.A.R.M.,33.43
Army Men: Air Combat,33.74
Army Men: Air Combat [Grey],43.13
Army Men: Sarge's Heroes,29.09
Army Men: Sarge's Heroes 2,42.32
Army Men: Sarge's Heroes 2 [Grey],35.67
Asteroids Hyper 64,64.82
Automobili Lamborghini,31.01
Banjo-Kazooie,121.24
Banjo-Kazooie [Not For Resale],0.00
Banjo-Kazooie [Player's Choice],46.27
Banjo-Tooie,118.70
Banjo-Tooie [Not For Resale],0.00
Bass Hunter 64,18.59
Bass Masters 2000,27.42
Bass Masters 2000 [Grey],119.65
Batman Beyond: Return Of The Joker,69.26
BattleTanx,43.94
BattleTanx: Global Assault,43.43
Battlezone: Rise of the Black Dogs,142.09
Beetle Adventure Racing!,54.31
Big Mountain 2000,106.59
Bio FREAKS,22.95
Blast Corps.,67.80
Blues Brothers 2000,96.75
Body Harvest,66.69
Bomberman 64,80.93
Bomberman 64: The Second Attack,608.61
Bomberman Hero,78.43
Brunswick Circuit Pro Bowling,68.29
Buck Bumble,100.31
A Bug's Life,25.95
Bust-A-Move '99,77.86
Bust-A-Move 2: Arcade Edition,41.10
California Speed,33.68
Carmageddon 64,160.27
Castlevania,71.10
Castlevania: Legacy Of Darkness,221.45
Chameleon Twist,124.45
Chameleon Twist 2,263.39
Charlie Blast's Territory,113.65
Chef's Luv Shack: South Park,47.20
Chopper Attack,29.89
Clay Fighter 63 1/3,108.68
Clay Fighter: Sculptor's Cut,"2,282.76"
Command & Conquer,24.51
Conker's Bad Fur Day,210.72
Cruis'n Exotica,102.17
Cruis'n USA,55.96
Cruis'n USA [Player's Choice],39.27
Cruis'n World,46.28
CyberTiger,48.99
Daikatana,268.54
Dark Rift,28.20
Deadly Arts,89.91
Destruction Derby 64,63.61
Diddy Kong Racing,57.06
Diddy Kong Racing [Not For Resale],0.00
Diddy Kong Racing [Player's Choice],42.44
Disney's Tarzan,61.07
Donald Duck: Goin' Quackers,119.84
Donkey Kong 64,96.93
Donkey Kong 64 [Not For Resale],0.00
Donkey Kong 64 [Not For Resale][Grey],0.00
Doom 64,99.54
Dr. Mario 64,73.57
Dual Heroes,112.91
Duck Dodgers Starring Daffy Duck,141.71
Duke Nukem 64,69.07
Duke Nukem: Zero Hour,43.88
ECW Hardcore Revolution,34.28
Earthworm Jim 3D,213.34
Elmo's Letter Adventure,55.32
Elmo's Number Journey,44.36
Excitebike 64,44.89
Excitebike 64 [Not For Resale],0.00
Extreme G,34.88
Extreme G II,41.08
F-1 Pole Position 64,24.37
F-1 World Grand Prix,23.95
F-Zero X,95.87
FIFA Soccer 64,32.83
FIFA Soccer 99,24.30
FIFA: Road To World Cup 98,28.99
Fighter Destiny 2,126.62
Fighters Destiny,22.91
Fighting Force 64,69.47
Flying Dragon,174.39
Forsaken 64,26.89
Fox Sports College Hoops '99,17.24
GT 64: Championship Edition,21.61
Gauntlet Legends,76.24
Gauntlet Legends [w/ Figurine],352.39
Gex 3: Deep Cover Gecko,49.74
Gex 64: Enter The Gecko,33.56
Glover,60.98
Goemon's Great Adventure,351.20
Golden Nugget 64,22.80
GoldenEye 007,81.95
GoldenEye 007 [Not For Resale],0.00
GoldenEye: 007 [Player's Choice],59.72
Harvest Moon 64,159.61
Hercules: The Legendary Journeys,80.23
Hexen,49.34
Hey You Pikachu! [Game Only],0.00
"Hey You, Pikachu!",90.97
Hot Wheels: Turbo Racing,51.88
Hybrid Heaven,69.57
Hydro Thunder,68.42
Hydro Thunder [Grey],77.17
Iggy's Reckin Balls,65.85
Indiana Jones Infernal Machine,211.20
Indy Racing 2000,23.30
International Superstar Soccer '98,95.14
International Superstar Soccer 2000,259.43
International Superstar Soccer 64,57.69
International Track Field 2000,114.34
Jeopardy!,25.21
Jeremy McGrath Supercross 2000,18.71
Jet Force Gemini,40.65
Jet Force Gemini [Not For Resale],0.00
Ken Griffey Jr.'s Slugfest,28.63
Killer Instinct Gold,123.61
Kirby 64: The Crystal Shards,110.44
Knife Edge Nose Gunner,39.13
Knockout Kings 2000,16.61
Kobe Bryant in NBA Courtside,36.74
LEGO Racers,32.68
Legend of Zelda: Majora's Mask,130.12
Legend of Zelda: Majora's Mask [Holographic Label],191.71
Legend of Zelda: Majora's Mask [Not For Resale][Gold],0.00
Legend of Zelda: Majora's Mask [Not For Resale][Grey],0.00
Legend of Zelda: Ocarina of Time,77.26
Legend of Zelda: Ocarina of Time [Collector's Edition],350.66
