Nintendo NES Game Title,Nintendo NES Game Price
10-Yard Fight,44.35
10-Yard Fight [5 Screw],176.44
1942,71.80
1942 [5 Screw],82.17
1943: The Battle of Midway,50.37
3-D World Runner,92.67
3-D World Runner [5 Screw],0.00
6 in 1: Caltron,367.02
6 in 1: Myriad,"2,799.99"
720,32.31
8 Eyes,49.06
AVS [RetroUSB],229.65
Abadox: The Deadly Inner War,53.98
Action 52,557.52
Addams Family,50.04
Addams Family: Pugsley's Scavenger Hunt,132.30
Advanced Dungeons & Dragons: Dragon Strike,117.71
Advanced Dungeons & Dragons: Heroes of the Lance,34.56
Advanced Dungeons & Dragons: Hillsfar,186.76
Advanced Dungeons & Dragons: Pool of Radiance,95.81
Adventure Island,37.64
Adventure Island 3,146.53
Adventure Island II,58.45
Adventures of Bayou Billy,27.87
Adventures of Dino Riki,32.67
Adventures of Gilligan's Island,85.12
Adventures of Lolo,46.91
Adventures of Lolo 2,70.24
Adventures of Lolo 3,99.69
Adventures of Rad Gravity,64.07
Adventures of Rocky and Bullwinkle And Friends,55.56
Adventures of Tom Sawyer,46.30
After Burner,33.89
Air Fortress,29.34
Airwolf,30.91
Al Unser Jr. Turbo Racing,16.61
Aladdin Deck Enhancer,0.00
Aladdin [PAL],88.30
Alfred Chicken,163.64
Alien 3,88.83
Alien Syndrome,42.34
All-Pro Basketball,24.17
Alpha Mission,36.67
Alpha Mission [5 Screw],99.99
Amagon,29.57
American Gladiators,34.08
Anticipation,14.38
Arch Rivals: A Basketbrawl!,39.65
Archer Joystick Docking Bay,5.00
Archon,37.83
Arkanoid,174.51
Arkanoid [5 Screw],0.00
Arkista's Ring,103.52
Astyanax,35.48
Astérix [PAL],42.00
Athena,75.66
Athena [5 screw],110.38
Athletic World,35.16
"Athletic World, Family Fun Fitness",685.31
Attack of the Killer Tomatoes,109.05
Aussie Rules Footy [AUS],63.60
Baby Boomer [Black],0.00
Baby Boomer [Blue],86.18
Back to the Future,48.30
Back to the Future II & III,59.44
Bad Dudes,47.90
Bad News Baseball,35.94
Bad Street Brawler,40.85
Balloon Fight,139.48
Balloon Fight [5 Screw],221.00
Banana Prince [PAL],175.00
Bandai Golf: Challenge Pebble Beach,12.49
Bandit Kings of Ancient China,133.15
Barbie,26.99
Bard's Tale,38.87
Barker Bill's Trick Shooting,24.74
Baseball,41.32
Baseball Simulator 1.000,24.05
Baseball Stars,43.06
Baseball Stars II,49.56
Baseball [5 Screw],90.62
Bases Loaded,16.91
"Bases Loaded 3, Ryne Sandberg Plays",25.11
Bases Loaded 4,107.56
Bases Loaded II: Second Season,14.19
Batman Returns,71.08
Batman: Return of the Joker,141.33
Batman: The Video Game,72.62
Battle Chess,26.62
The Battle of Olympus,56.96
Battleship,47.99
Battletoads,129.19
Battletoads & Double Dragon,290.27
Beauty and the Beast [PAL],152.87
Bee 52,44.24
Beetlejuice,117.91
Best of the Best: Championship Karate,134.14
Bible Adventures,55.46
Bible Buffet,123.84
Big Nose Freaks Out,235.20
Big Nose Freaks Out [Aladdin Deck Enhancer],0.00
Big Nose the Caveman,37.40
Bigfoot,23.29
Bill & Ted's Excellent Video Game Adventure,65.61
Bill Elliott's NASCAR Challenge,20.71
Bionic Commando,67.06
The Black Bass,25.09
Blackjack,84.01
Blades of Steel,22.67
Blades of Steel [Red Label],49.89
Blaster Master,48.32
Blue Marlin,39.77
The Blues Brothers,84.47
Bo Jackson Baseball,25.78
Bomberman,68.83
Bomberman II,246.62
Bonk's Adventure,"1,424.23"
Boulder Dash,43.04
"A Boy and His Blob: Trouble on Blobolonia, David Crane's",52.79
Bram Stoker's Dracula,93.79
Break Time: The National Pool Tour,28.73
Breakthru,41.89
Breakthru [5 Screw],31.98
Bubble Bath Babes,"2,632.98"
Bubble Bobble,63.56
Bubble Bobble Part 2,833.55
Bucky O'Hare,496.33
Bugs Bunny Birthday Blowout,30.36
Bugs Bunny Crazy Castle,39.49
Bump 'n' Jump,38.33
Burai Fighter,40.25
BurgerTime,40.70
BurgerTime [5 Screw],52.45
Cabal,37.54
Caesar's Palace,18.76
California Games,27.04
Capcom's Gold Medal Challenge '92,31.80
Captain America and the Avengers,105.37
Captain Comic: The Adventure [Black],30.65
Captain Comic: The Adventure [Blue],39.14
Captain Planet and the Planeteers,60.85
Captain Skyhawk,18.16
Casino Kid,20.57
Casino Kid II,164.66
Castelian,50.37
Castelvania [5 Screw],129.60
Castle of Deceit [Black],155.12
Castle of Deceit [Blue],169.46
Castle of Dragon,44.76
Castlequest,34.46
Castlevania,202.63
Castlevania II: Simon's Quest,90.00
Castlevania III: Dracula's Curse,179.08
Caveman Games,36.92
Challenge of the Dragon [Black],0.00
Challenge of the Dragon [Blue],267.65
Championship Bowling,24.69
Championship Pool,26.84
Championship Rally [PAL],161.85
Cheetahmen II,"2,291.29"
Chessmaster,19.48
Chevaliers du Zodiaque [PAL],0.00
Chiller,163.27
"Chip 'n Dale Rescue Rangers 2, Disney's",583.51
"Chip 'n Dale Rescue Rangers, Disney's",63.90
Chubby Cherub,521.66
Chubby Cherub [5 Screw],396.17
Circus Caper,25.23
City Connection,30.01
Clash at Demonhead,62.85
Classic Concentration,23.86
Cliffhanger,124.10
Clu Clu Land,269.95
Clu Clu Land [5 Screw],246.68
Cobra Command,40.55
Cobra Triangle,26.32
Code Name: Viper,53.84
Color a Dinosaur,442.38
Commando,45.81
Commando [5 Screw],49.33
Conan: The Mysteries of Time,142.38
Conflict,34.14
Conquest of the Crystal Palace,103.68
Contra,149.62
Contra Force,460.36
Cool World,178.49
Cowboy Kid,521.98
Crackout [PAL],32.60
Crash 'n' the Boys: Street Challenge,89.24
Crystal Mines [Black],125.00
Crystal Mines [Blue],49.46
Crystalis,75.15
Cyber Stadium Series: Base Wars,26.18
Cyberball,31.65
Cybernoid: The Fighting Machine,21.83
Dance Aerobics,27.50
Danny Sullivan's Indy Heat,42.39
Darkman,67.04
"Darkwing Duck, Disney's",197.40
Dash Galaxy in the Alien Asylum,25.32
Day Dreamin' Davey,62.47
Days of Thunder,16.75
Deadly Towers,27.65
Deadly Towers [5 Screw],45.62
Death Race,95.72
Deathbots,49.29
Defender II,29.13
Defender of the Crown,42.92
Defenders of Dynatron City,116.23
Demon Sword,34.94
Desert Commander,28.70
Destination Earthstar,19.95
Destiny of an Emperor,78.19
Devil World [PAL],0.00
Dick Tracy,45.19
Die Hard,271.22
Dig Dug II: Trouble in Paradise,30.66
Digger T. Rock: The Legend of the Lost City,47.23
Dirty Harry,41.80
Disney Adventures in the Magic Kingdom,24.98
Dizzy the Adventurer [Aladdin Deck Enhancer],41.83
Donkey Kong,262.83
Donkey Kong 3,107.75
Donkey Kong 3 [5 Screw],177.26
Donkey Kong Classics,35.66
Donkey Kong Jr.,178.39
Donkey Kong Jr. Math,"1,180.85"
Donkey Kong Jr. Math [5 Screw],"1,685.31"
Donkey Kong Jr. [5 Screw],345.87
Donkey Kong [5 Screw],150.87
Double Dare,35.48
Double Dragon,41.25
Double Dragon II: The Revenge,56.78
Double Dragon III: The Sacred Stones,72.56
Double Dribble,15.65
Double Dribble [5 Screw],0.00
Double Strike,53.14
Dr. Chaos,32.15
Dr. Jekyll and Mr. Hyde,110.43
Dr. Mario,16.88
Dragon Fighter,741.61
Dragon Power,35.77
Dragon Spirit: The New Legend,34.64
Dragon Warrior,48.80
Dragon Warrior II,138.21
Dragon Warrior III,190.09
Dragon Warrior IV,244.00
Dragon's Lair,69.88
Dropzone [PAL],113.99
Duck Hunt,82.32
Duck Hunt [5 Screw],64.31
"DuckTales 2, Disney's",553.61
"DuckTales, Disney's",70.52
Dudes with Attitude,30.05
Dungeon Magic: Sword of the Elements,41.29
Dusty Diamond's All-Star Softball,148.44
Dynowarz: Destruction of Spondylus,24.15
Déjà Vu,29.47
Elevator Action,57.32
Elevator Action [5 Screw],53.50
Eliminator Boat Duel,47.75
Elite [PAL],71.27
Excitebike,44.53
Excitebike [5 Screw],76.21
Exodus: Journey to the Promised Land,30.00
F-117A Stealth Fighter,38.24
F-15 City War,22.38
F-15 Strike Eagle,18.99
Family Feud,29.81
Family Fun Fitness Pad,571.73
Fantastic Adventures of Dizzy,36.70
The Fantastic Adventures of Dizzy [Aladdin Deck Enhancer],17.84
Fantasy Zone,51.91
Faria: A World of Mystery & Danger!,190.28
Faxanadu,37.15
Felix the Cat,176.75
Ferrari Grand Prix Challenge,26.96
Fester's Quest,36.10
Final Fantasy,97.58
Fire 'n Ice,317.48
Firehawk,28.51
Fisher-Price: Firehouse Rescue,57.85
Fisher-Price: I Can Remember,33.02
Fisher-Price: Perfect Fit,32.23
Fist of the North Star,93.65
Flight of the Intruder,22.50
Flintstones: Rescue of Dino & Hoppy,65.65
Flintstones: The Surprise at Dinosaur Peak,"2,615.49"
Flying Dragon: The Secret Scroll,41.28
Flying Warriors,73.26
Formula 1 Sensation [PAL],98.33
Formula One: Built to Win,65.91
Fox's Peter Pan & The Pirates: The Revenge of Captain Hook,46.89
Frankenstein: The Monster Returns,152.52
Freedom Force,43.66
Friday the 13th,136.98
Fun House,32.66
G.I. Joe: A Real American Hero,216.66
G.I. Joe: The Atlantis Factor,94.88
GALF [Green],56.38
GALF [White],0.00
Galactic Crusader [Black],0.00
Galactic Crusader [Blue],71.37
Galaga: Demons of Death,41.70
Galaxy 5000: Racing in the 51st Century,54.75
Game Genie,29.14
Game Genie Adapter,264.48
Gargoyle's Quest II,195.74
Garry Kitchen's Battle Tank,30.93
Gauntlet,31.44
Gauntlet II,24.17
Gauntlet [Unlicensed],27.86
Gemfire,198.17
Genghis Khan,45.63
George Foreman's KO Boxing,29.43
"Ghost Lion, Legend of",200.64
Ghostbusters,69.00
Ghostbusters II,62.58
Ghosts 'n Goblins,56.03
Ghosts 'n Goblins [5 Screw],98.52
Ghoul School,84.63
Goal!,25.36
Goal! Two,72.01
Godzilla 2: War of the Monsters,333.65
Godzilla: Monster of Monsters!,98.21
Golf,23.54
Golf Grand Slam,33.04
Golf [5 Screw],25.03
Golgo 13: Top Secret Episode,28.14
Goonies II,75.21
Goonies II [5 Screw],74.74
Gotcha! The Sport!,19.48
Gotcha! The Sport! [5 Screw],0.00
Gradius,69.87
Gradius [5 Screw],98.08
Great Waldo Search,59.30
Greg Norman's Golf Power,26.29
Gremlins 2: The New Batch,95.55
Guardian Legend,74.62
Guerrilla War,49.78
Gumshoe,65.53
Gumshoe [5 Screw],190.94
Gun+Nac,430.52
Gun.Smoke,73.00
Gyromite,57.56
Gyromite [5 Screw],262.71
Gyromite [Big Box],463.70
Gyruss,51.99
Hammerin' Harry [PAL],0.00
Harlem Globetrotters,24.57
Hatris,41.33
Heavy Barrel,43.41
Heavy Shreddin',20.87
High Speed,27.22
Hogan's Alley,52.97
Hogan's Alley [5 Screw],109.15
Hollywood Squares,25.25
Holy Diver [Collector's Edition],0.00
Home Alone,38.49
Home Alone 2: Lost in New York,32.46
Hook,34.72
Hoops,13.37
Hot Slots,"1,483.66"
Hudson Hawk,41.84
Hunt for Red October,21.02
Hydlide,20.80
Ice Climber,111.19
Ice Climber [5 Screw],276.48
Ice Hockey,29.53
Ikari III: The Rescue,52.98
Ikari Warriors,40.33
Ikari Warriors II: Victory Road,39.27
Ikari Warriors [5 Screw],55.02
Image Fight,54.30
Immortal,38.63
Impossible Mission II [AVE],30.89
Impossible Mission II [SEI],36.25
Incredible Crash Dummies,103.13
Indiana Jones and the Last Crusade [Taito],86.90
Indiana Jones and the Last Crusade [Ubisoft],169.66
Indiana Jones and the Temple of Doom,47.58
Indiana Jones and the Temple of Doom [Unlicensed],44.00
Infiltrator,22.74
International Cricket [AUS],87.52
Iron Tank: The Invasion of Normandy,23.44
Ironsword: Wizards & Warriors II,23.52
Isolated Warrior,70.85
Ivan 'Ironman' Stewart's Super Off Road,32.99
Jack Nicklaus' Greatest 18 Holes of Major Championship Golf,14.99
Jackal,54.17
Jackie Chan's Action Kung Fu,162.18
James Bond Jr.,81.87
Jaws,64.93
Jaws [5 Screw],0.00
Jeopardy!,14.29
Jeopardy! 25th Anniversary Edition,13.69
Jeopardy! Jr. Edition,12.38
Jetsons: Cogswell's Caper,560.74
Jimmy Connors Tennis,140.21
Joe & Mac,71.79
John Elway's Quarterback,16.42
Jordan vs. Bird: One on One,62.63
Joshua & The Battle of Jericho,64.08
Journey to Silius,127.68
Joust,35.05
"Jungle Book, Disney's",77.02
Jurassic Park,51.11
Kabuki: Quantum Fighter,67.34
Karate Champ,35.54
Karate Champ [5 Screw],28.47
Karate Kid,50.25
Karnov,44.27
Kick Off [PAL],25.82
Kickle Cubicle,77.84
Kickmaster,262.06
Kid Icarus,78.98
Kid Icarus [5 Screw],164.40
Kid Klown in Night Mayor World,674.68
Kid Kool and the Quest for the Seven Wonder Herbs,58.12
Kid Niki: Radical Ninja,79.10
Kid Niki: Radical Ninja [5 Screw],34.95
King Neptune's Adventure [Black],259.99
King Neptune's Adventure [Blue],233.44
King of Kings: The Early Years,42.15
King's Knight,31.84
King's Quest V,81.07
Kings of the Beach: Professional Beach Volleyball,17.87
Kirby's Adventure,61.57
Kiwi Kraze: A Bird-Brained Adventure!,89.88
Klash Ball,35.38
Klax,19.56
Knight Rider,35.54
Konami Hyper Soccer [PAL],34.78
Krazy Kreatures,43.36
Krion Conquest,162.98
Krusty's Fun House,41.66
Kung Fu,47.11
Kung Fu Heroes,32.29
Kung Fu [5 Screw],39.65
L'Empereur,145.05
Laser Invasion,48.68
LaserScope,82.28
Last Action Hero,134.90
Last Ninja,61.82
Last Starfighter,34.60
Lee Trevino's Fighting Golf,16.43
Legacy of the Wizard,26.06
Legend of Kage,39.76
Legend of Kage [5 Screw],63.62
Legend of Prince Valiant [PAL],65.00
Legend of Zelda,173.40
Legend of Zelda [5 Screw],376.55
Legend of Zelda [Classic Series],75.17
Legend of Zelda [Test Cartridge],0.00
Legendary Wings,47.73
Legends of the Diamond: The Baseball Championship,27.95
Lemmings,99.58
Lethal Weapon,84.81
Life Force,64.32
Linus Spacehead's Cosmic Crusade,119.53
Linus Spacehead's Cosmic Crusade [Aladdin Deck Enhancer],22.45
Lion King [PAL],140.12
Little League Baseball: Championship Series,28.27
"Little Mermaid, Disney's",39.76
Little Nemo: The Dream Master,61.37
Little Ninja Brothers,173.82
Little Samson,"3,725.37"
Lode Runner,61.01
Lode Runner [5 Screw],66.41
Lone Ranger,145.18
Loopz,21.47
Low G Man: The Low Gravity Man,39.11
Lunar Pool,23.00
Lunar Pool [5 Screw],0.00
M.C. Kids,52.55
M.U.L.E.,63.41
M.U.S.C.L.E.: Tag Team Match,127.67
M.U.S.C.L.E.: Tag Team Match [5 Screw],132.61
Mach Rider,54.16
Mach Rider [5 Screw],100.87
Mad Max,69.50
Mafat Conspiracy,21.48
Magic Darts,20.82
Magic Johnson's Fast Break,16.46
The Magic of Scheherazade,52.52
Magician,86.29
Magmax,41.96
Major League Baseball,25.19
Maniac Mansion,85.53
Mappy-Land,39.75
Marble Madness,34.55
"Mario Bros., The Original",135.29
"Mario Bros., The Original [5 Screw]",181.13
Mario Is Missing!,55.43
Mario's Time Machine,176.51
Master Chu and the Drunkard Hu [Black],0.00
Master Chu and the Drunkard Hu [Blue],65.74
Maxi 15,99.84
Mechanized Attack,47.36
Mega Man,381.43
Mega Man 10 [Press Kit],126.17
Mega Man 2,140.01
Mega Man 3,99.46
Mega Man 4,107.75
Mega Man 5,188.55
Mega Man 6,173.53
Mega Man 9 [Press Kit],246.09
Mega Man [5 Screw],0.00
Menace Beach [Black],213.49
Menace Beach [Blue],288.39
Mendel Palace,42.03
Mermaids of Atlantis,119.05
Metal Fighter [Black],0.00
Metal Fighter [Blue],37.59
Metal Gear,116.25
Metal Mech: Man & Machine,53.96
Metal Storm,368.96
Metroid,118.48
Metroid [5 Screw],528.04
Metroid [Classic Series],85.64
Michael Andretti's World GP,22.97
Mickey Mousecapade,40.29
Mickey's Adventure in Numberland,167.03
Mickey's Safari in Letterland,53.12
Micro Machines,61.22
Micro Machines [Aladdin Deck Enhancer],25.92
Mig 29 Soviet Fighter,21.80
Might & Magic: Secret of the Inner Sanctum,144.30
Mighty Bomb Jack,59.78
Mighty Bomb Jack [5 Screw],20.77
Mighty Final Fight,660.20
Mike Tyson's Punch-Out!!,142.23
Mike Tyson's Punch-Out!! [5 Screw],0.00
Millipede,21.83
Milon's Secret Castle,36.30
Miracle Piano Teaching System,212.56
Mission Cobra,79.31
Mission: Impossible,25.23
Monopoly,21.73
Monster Party,101.28
Monster Truck Rally,40.40
Monster in My Pocket,251.03
Moon Ranger [Black],152.50
Moon Ranger [Blue],305.63
Motor City Patrol,75.84
Mr. Gimmick [PAL],"1,354.91"
Ms. Pac-Man [Namco],115.33
Ms. Pac-Man [Tengen],38.85
"Muppet Adventure: Chaos at the Carnival, Jim Henson's",34.95
Mutant Virus,56.05
Mystery Quest,34.33
NARC,36.59
NES Advantage,37.38
NES Classic Edition,107.60
NES Classic Mini Edition Controller,11.99
NES Controller,0.00
NES Dogbone Controller,0.00
NES Four Score,39.47
NES Max,36.87
NES Open Tournament Golf,28.35
NES Play Action Football,12.83
NES Power Glove,111.88
NES Satellite,39.29
NES Zapper [Grey],20.09
NES Zapper [Orange],26.55
NFL Football,12.76
New Ghostbusters II [PAL],108.49
Nigel Mansell's World Championship Racing,74.73
A Nightmare on Elm Street,145.63
Nightshade,84.88
Ninja Crusaders,93.36
Ninja Gaiden,106.47
Ninja Gaiden II: The Dark Sword of Chaos,67.24
Ninja Gaiden III: The Ancient Ship of Doom,157.07
Ninja Kid,106.03
Ninja Kid [5 Screw],88.03
Nintendo Entertainment System [Action Set],134.36
Nintendo Entertainment System [Challenge Set],145.64
Nintendo Entertainment System [Control Deck],90.34
Nintendo Entertainment System [Deluxe],611.69
Nintendo Entertainment System [Power Set],157.91
Nintendo Entertainment System [Sports Set],281.63
Nintendo Entertainment System: Top Loader [Control Deck],262.65
Nintendo World Championships [Gold],0.00
Nintendo World Championships [Grey],0.00
Nintendo World Cup,24.03
Noah's Ark [PAL],78.79
Nobunaga's Ambition,51.75
Nobunaga's Ambition II,237.98
North and South,97.31
ORB 3-D,25.56
Operation Secret Storm [Black],191.96
Operation Secret Storm [Blue],143.87
Operation Wolf,22.74
Othello,25.10
Over Horizon [PAL],120.82
Overlord,44.67
P'radikus Conflict [Black],89.99
P'radikus Conflict [Blue],78.98
P.O.W.: Prisoners of War,43.06
Pac-Man [Namco],54.77
Pac-Man [Tengen Unlicensed],32.31
Pac-Man [Tengen],38.20
Pac-Mania,35.08
Palamedes,37.28
Panic Restaurant,"1,237.73"
Paperboy,38.81
Paperboy 2,53.70
Parasol Stars: Rainbow Islands II  [PAL],0.00
Parodius [PAL],94.45
Peek A Boo Poker,"1,626.93"
Pesterminator: The Western Exterminator [Black],0.00
Pesterminator: The Western Exterminator [Blue],106.94
Phantom Fighter,41.54
Pictionary,17.58
Pin-Bot,26.09
Pinball,25.16
Pinball Quest,33.93
Pinball [5 Screw],42.65
Pipe Dream,25.70
Pirates!,76.07
Platoon,19.77
Popeye,56.21
Popeye [5 Screw],122.77
Power Blade,260.88
Power Blade 2,"1,239.90"
Power Pad,57.79
Power Punch II,59.07
Predator,61.35
Prince of Persia,72.62
Princess Tomato in the Salad Kingdom,307.91
Pro Sport Hockey,331.52
Pro Wrestling,64.86
Pro Wrestling [5 Screw],59.55
Punch-Out!!,69.18
Punisher,92.18
Puss N' Boots: Pero's Great Adventure,28.60
Puzzle,27.35
Puzznic,33.64
Pyramid,24.53
Q*bert,27.73
Qix,72.22
Quattro Adventure,31.22
Quattro Adventure [Aladdin Deck Enhancer],19.95
Quattro Arcade,35.06
Quattro Sports,24.26
Quattro Sports [Aladdin Deck Enhancer],19.09
R.B.I. Baseball,40.68
R.B.I. Baseball 2,20.31
R.B.I. Baseball 3,26.02
R.B.I. Baseball [Unicensed],22.26
R.C. Pro-Am,28.19
R.C. Pro-Am II,270.74
R.O.B. [Robotic Operating Buddy],403.17
"Race America, Alex DeMeo's",125.76
RacerMate Challenge II,214.82
Racket Attack,15.65
Rackets & Rivals [PAL],0.00
Rad Racer,26.16
Rad Racer II,27.09
Rad Racer [5 Screw],87.56
Rad Racket: Deluxe Tennis II,98.99
Raid 2020 [Black],0.00
Raid 2020 [Blue],48.76
Raid on Bungeling Bay,48.77
Raid on Bungeling Bay [5 Screw],538.75
Rainbow Islands,95.10
Rainbow Islands [Ocean] [PAL],80.00
Rally Bike,74.35
Rambo,46.14
Rampage,48.88
Rampart,41.68
Remote Control,20.80
Ren & Stimpy Show: Buckeroo$!,54.72
Renegade,44.08
Rescue: The Embassy Mission,24.83
Ring King,81.16
Ring King [5 Screw],51.42
River City Ransom,107.09
Road Fighter [PAL],29.60
Road Runner,36.07
RoadBlasters,19.50
Robin Hood: Prince of Thieves,36.15
Robo Warrior,25.32
RoboCop,30.72
RoboCop 2,54.64
RoboCop 3,190.56
Robodemons,69.17
Rock 'n Ball,25.95
Rocket Ranger,22.89
Rocketeer,45.71
Rockin' Kats,308.27
Rodland [PAL],0.00
Roger Clemens' MVP Baseball,19.27
Rollerball,32.55
Rollerblade Racer,61.17
Rollergames,42.23
Rolling Thunder,27.75
Romance of the Three Kingdoms,57.21
Romance of the Three Kingdoms II,134.38
Roundball 2-on-2 Challenge,28.67
Rush'n Attack,27.77
Rush'n Attack [5 Screw],33.74
Rygar,58.52
Rygar [5 Screw],68.55
