PS1 Game Title,PS1 Game Price
007 Racing,7.15
007 Racing [Collector's Edition],2.86
007: The World Is Not Enough,11.09
007: The World Is Not Enough [Greatest Hits],6.68
007: Tomorrow Never Dies,10.29
007: Tomorrow Never Dies [Greatest Hits],7.24
101 Dalmatians II: Patch's London Adventure,13.82
102 Dalmatians: Puppies to the Rescue,6.46
1xtreme,11.15
2Xtreme,9.10
2Xtreme [Greatest Hits],4.51
3D Baseball,14.07
3Xtreme,5.27
40 Winks,21.64
A-Train,39.08
ATV Mania,9.31
ATV Racers,5.01
ATV: Quad Power Racing,1.70
Ace Combat 2,26.96
Ace Combat 3: Electrosphere,24.79
Aces of the Air,8.74
Action Bass,3.67
Action Man: Operation Extreme,8.04
Activision Classics,6.21
Activision Classics [Greatest Hits],3.13
Adidas Power Soccer,11.94
Adidas Power Soccer 98,13.27
Adventures of Lomax,210.00
Agile Warrior F-111X,5.70
Agile Warrior F-111X [Longbox],13.47
Air Combat,32.08
Air Combat [Greatest Hits],8.66
Air Combat [Longbox],34.15
Air Hockey,6.97
Akuji: The Heartless,15.90
Aladdin: Nasiras Revenge,21.18
Alexi Lalas International Soccer,5.23
Alien Resurrection,31.75
Alien Trilogy,55.12
Alien Trilogy [Greatest Hits],20.44
Alien Trilogy [Longbox],37.67
All-Star Baseball 1997,16.91
All-Star Racing,4.08
All-Star Racing 2,6.11
All-Star Slammin D-Ball,5.35
Allied General,16.18
Alone in the Dark: One Eyed Jack's Revenge,25.03
Alone in the Dark: The New Nightmare,18.87
Alundra,108.20
Alundra 2: A New Legend Begins,40.66
Amazing Virtual Sea Monkeys,9.04
American Pool,6.02
Andretti Racing,3.53
Andretti Racing [Greatest Hits],4.71
Animaniacs: Ten Pin Alley,8.15
Animorphs: Shattered Reality,12.36
Ape Escape,21.35
Ape Escape [Greatest Hits],22.67
Apocalypse,15.92
Aquanaut's Holiday,18.40
Arc the Lad Collection,113.16
Arcade Party Pak,4.13
Arcade's Greatest Hits: The Atari Collection 1,6.39
Arcade's Greatest Hits: The Atari Collection 2,10.22
Arcade's Greatest Hits: The Midway Collection 2,10.74
Arcade's Greatest Hits: Williams,10.52
Arcade's Greatest Hits: Williams [Longbox],16.85
Area 51,16.86
Armored Core,31.90
Armored Core: Master of Arena,23.43
Armored Core: Project Phantasma,35.51
Armorines: Project S.W.A.R.M.,7.97
Army Men 3D,7.43
Army Men 3D [Greatest Hits],6.64
Army Men Gold [Collector's Edition],26.50
Army Men: Air Attack,4.06
Army Men: Air Attack 2,3.70
Army Men: Air Attack [Greatest Hits],7.73
Army Men: Green Rogue,8.70
Army Men: Sarge's Heroes,10.09
Army Men: Sarges Heroes 2,8.22
Army Men: World War,7.00
Army Men: World War: Final Front,13.52
"Army Men: World War: Land, Sea & Air",9.68
Army Men: World War: Team Assault,10.19
Arthur! Ready to Race,7.78
Assault Retribution,19.66
Assault Rigs,27.79
Asteroids,3.04
Asteroids [Greatest Hits],5.61
Atari Anniversary Edition Redux,7.10
Atlantis: The Lost Empire,18.31
Austin Powers Pinball,1.33
Auto Destruct,19.53
Azure Dreams,94.68
Backstreet Billiards,7.16
Backyard Soccer,7.67
Baldies,10.72
Ball Breakers,7.23
BallBlazer Champions,6.07
Ballerburg: Castle Chaos,5.43
Ballistic,10.51
Barbie: Explorer,17.28
Barbie: Gotta Have Games,6.68
Barbie: Race and Ride,4.27
Barbie: Super Sports,6.67
Bases Loaded '96: Double Header,13.79
Bass Landing,9.20
Bass Rise,8.73
Batman & Robin,25.31
Batman Beyond: Return of the Joker,22.25
Batman Forever: The Arcade Game,147.20
Batman: Gotham City Racer,19.72
Battle Arena Toshinden,12.44
Battle Arena Toshinden 2,18.99
Battle Arena Toshinden 2 [Longbox],25.14
Battle Arena Toshinden 3,15.52
Battle Arena Toshinden [Greatest Hits],10.08
Battle Arena Toshinden [Longbox],14.99
Battle Hunter,18.77
Battle Stations,4.49
BattleTanx: Global Assault,8.42
Battlesport,17.06
Bear in the Big Blue House,10.34
Beast Wars: Transformers,14.04
Best Buy: Greatest Hits Demo Disc,46.00
Beyblade: Let it Rip!,6.08
Beyond the Beyond,44.49
Big Air,7.72
Big Bass Fishing,6.32
Big Bass World Championship,7.28
Big League Slugger Baseball,4.42
Big Ol' Bass 2,17.62
Big Strike Bowling,2.85
Billiards,4.70
Bio FREAKS,10.67
Black Bass with Blue Marlin,10.51
Black Dawn,5.32
Blade,19.97
Blast Chamber,14.58
Blast Lacrosse,10.15
Blast Radius,10.25
Blaster Master: Blasting Again,11.85
Blasto,26.84
Blazing Dragons,19.57
Blockids,14.83
Blood Omen: Legacy of Kain,31.26
Blood Omen: Legacy of Kain [Collector's Edition],22.00
Bloody Roar,38.67
Bloody Roar 2,36.18
Blue's Clues: Blue's Big Musical,5.95
Bob the Builder: Can We Fix It,9.63
Bogey: Dead 6,8.44
Bomberman Fantasy Race,54.77
Bomberman Party Edition,11.59
Bomberman World,23.59
Bombing Islands,4.87
Boombots,19.23
Bottom of the 9th,7.87
Bottom of the 9th 97,6.27
Bottom of the 9th 99,3.68
Bowling,3.47
Boxing,4.22
Brahma Force,21.40
Brain Dead 13,107.54
Bratz,3.00
Brave Fencer Musashi,74.82
Bravo Air Race,9.89
Breakout,3.45
Breath of Fire III,55.72
Breath of Fire IV,88.15
Brigandine: The Legend of Forsena,170.46
Broken Helix,9.91
Broken Sword II: The Smoking Mirror,10.11
Broken Sword: The Shadow of the Templars,34.87
Brunswick Circuit Pro Bowling,5.92
Brunswick Circuit Pro Bowling 2,10.53
Bubble Bobble: featuring Rainbow Islands,19.07
Bubsy 3D,22.62
A Bug's Life,8.44
A Bug's Life [Greatest Hits],6.87
Bugriders: The Race of Kings,15.81
Bugs Bunny & Taz: Time Busters,52.55
Bugs Bunny: Lost in Time,26.01
Builder's Block,25.76
Burning Road,13.00
Burstrick Wake Boarding!!,3.33
Bushido Blade,25.11
Bushido Blade 2,31.50
Bust A Groove,78.38
Bust A Groove 2,175.15
Bust-A-Move 2: Arcade Edition,13.36
Bust-A-Move 2: Arcade Edition [Longbox],19.81
Bust-A-Move 4,13.78
Bust-A-Move 99,9.69
Buster Bros. Collection,20.33
Buzz Lightyear of Star Command,11.90
C-12: Final Resistance,6.98
C: The Contra Adventure,54.30
Cabela's Big Game Hunter: Ultimate Challenge,5.18
Cabela's Ultimate Deer Hunt,4.67
Caesars Palace,3.73
Caesars Palace 2000,2.87
Caesars Palace II,4.64
Capcom vs SNK Pro,78.25
Card Games,5.55
Cardinal Syn,8.50
Carnage Heart,43.46
Cart World Series,4.80
Casper,8.60
Casper [Greatest Hits],10.28
Casper: Friends Around the World,6.57
Castlevania Chronicles,146.82
Castlevania: Symphony of the Night,122.01
Castlevania: Symphony of the Night [Greatest Hits],66.89
Castrol Honda Superbike Racing,3.20
Cat in the Hat,7.22
Centipede,4.39
Championship Bass,6.73
Championship Motocross 2001: Ricky Carmichael,9.49
Championship Motocross: featuring Ricky Carmichael,5.55
Championship Surfer,3.18
Chess,3.65
Chessmaster 3D,6.59
Chessmaster 3D [Longbox],12.77
Chessmaster II,8.20
Chicken Run,10.71
Chocobo Racing,46.33
Chocobo's Dungeon 2,56.74
Chronicles of the Sword,14.14
Chrono Cross,25.16
Chrono Cross [Greatest Hits],10.12
