Sega CD Game Title,Sega CD Game Price
3 Ninjas Kick Back / Hook,156.73
A/X-101,118.98
AH-3 Thunderstrike,19.95
Advanced Dungeons & Dragons: Eye of the Beholder,37.42
Adventures of Batman & Robin,78.19
Adventures of Willy Beamish,20.04
After Burner III,86.67
Amazing Spider-Man vs. the Kingpin,50.62
Android Assault: The Revenge of Bari-Arm,177.74
BC Racers,109.21
Batman Returns,61.72
Battlecorps,31.40
Bill Walsh College Football,9.91
Black Hole Assault,17.26
Bouncers,27.53
Bram Stoker's Dracula,13.96
Brutal: Paws of Fury,23.45
CD Backup RAM Cart,99.70
Cadillacs and Dinosaurs,77.65
Championship Soccer 94,73.05
Chuck Rock,43.04
Chuck Rock II: Son of Chuck,33.83
Cliffhanger,17.11
Cobra Command,32.56
Colors of Modern Rock,57.43
Compton's Interactive Encyclopedia,29.57
Corpse Killer,30.26
Crime Patrol,89.44
Dark Wizard,81.00
Demolition Man,98.76
Double Switch,18.13
Dracula Unleashed,17.54
Dragon's Lair,33.22
Dune,87.35
Dungeon Explorer,103.86
Dungeon Master II: Skullkeep,26.77
ESPN Baseball Tonight,17.79
ESPN NBA HangTime 95,209.63
ESPN National Hockey Night,7.70
ESPN Sunday Night NFL,14.33
Earthworm Jim Special Edition,448.69
Ecco the Dolphin,35.17
Ecco: The Tides of Time,32.76
Eternal Champions: Challenge from the Dark Side,28.43
FIFA International Soccer,8.72
Fahrenheit,42.06
Fatal Fury Special,263.93
Final Fight CD,120.55
Flashback: The Quest for Identity,40.15
Flink,206.39
Formula One World Championship: Beyond the Limit,13.30
Ground Zero Texas,15.97
Heart of the Alien: Out of this World Parts I and II,80.39
Heimdall,39.32
Hook,24.35
Hot Hits / Rock Paintings,8.78
INXS: Make My Video,15.71
Iron Helix,34.60
Jaguar XJ220,29.89
Jeopardy!,23.76
Joe Montana's NFL Football,4.11
Jurassic Park,14.41
Keio Flying Squadron,"2,092.60"
Kids On Site,20.35
Kris Kross: Make My Video,20.03
Lawnmower Man,98.60
Lethal Enforcers,82.96
Lethal Enforcers II: Gunfighters,21.06
Links: The Challenge of Golf,22.64
Loadstar: The Legend of Tully Bodine,13.07
Lords of Thunder,275.45
Lunar: Eternal Blue,230.52
Lunar: The Silver Star,187.83
Mad Dog II: The Lost Gold,132.70
Mad Dog McCree,22.49
Mansion of Hidden Souls,33.65
Marky Mark and the Funky Bunch: Make My Video,43.65
Mary Shelley's Frankenstein / Bram Stoker's Dracula,47.34
Masked Rider: Kamen Rider ZO,37.08
Mega Race,43.88
Mickey Mania: The Timeless Adventures of Mickey Mouse,77.69
Microcosm,15.21
Midnight Raiders,19.19
Mighty Morphin Power Rangers,23.22
Mortal Kombat,39.54
My Paint: The Animated Paint Program,27.14
NBA Jam,26.07
NFL Football Trivia Challenge,48.74
NFL's Greatest: San Francisco Vs. Dallas 1978-1993,14.61
NHL 94,16.59
Night Trap,61.95
Night Trap [Blue Label],91.05
Novastorm,135.70
Panic!,77.75
Pitfall: The Mayan Adventure,38.33
Popful Mail,481.24
Power Factory Featuring C+C Music Factory,13.06
Power Monger,32.21
Prince of Persia,101.02
Prize Fighter,20.72
Puggsy,41.15
RDF Global Conflict,28.43
Racing Aces,22.77
Radical Rex,391.05
Revenge of the Ninja,59.57
Revengers of Vengeance,88.29
Rise of the Dragon,33.41
Road Avenger,57.40
Road Rash,61.64
Robo Aleste,211.79
Samurai Shodown,104.49
San Diego Zoo Presents: The Animals!,20.40
Secret of Monkey Island,89.89
Sega CD [Model 1],231.34
Sega CD [Model 2],149.73
Sega CDX System,771.15
Sewer Shark,26.15
Shadow of the Beast II,92.40
Sherlock Holmes Consulting Detective Vol. II,47.35
Shining Force CD,346.09
Silpheed,33.29
Slam City with Scottie Pippen,26.55
Snatcher,"1,224.38"
Sol-Feace,10.60
Sonic CD,71.71
SoulStar,191.97
Space Ace,49.74
Space Adventure,654.19
Star Wars Chess,59.92
Star Wars: Rebel Assault,28.10
Starblade,95.79
Stellar-Fire,12.09
Supreme Warrior,39.37
Surgical Strike,21.65
Terminator,149.94
Third World War,35.99
Time Gal,101.23
Tomcat Alley,14.12
Trivial Pursuit,16.82
Ultraverse Prime / Microcosm,95.77
Vay,134.47
WWF Rage in the Cage,29.23
Wheel of Fortune,23.98
Who Shot Johnny Rock?,29.33
Wild Woody,104.64
Wing Commander,35.85
Wirehead,48.23
Wolfchild,127.95
Wonder Dog,80.91
Wonder Dog [Red Box Variant],162.03
World Cup USA 94,37.34
