Sega Genesis Game Title,Sega Genesis Game Price
3 Ninjas Kick Back,76.26
6-Button Controller [MK-1653],0.00
6-Button Turbo Controller [MK-1470],0.00
6-Pak,30.02
688 Attack Sub,18.54
AAAHH!!! Real Monsters,18.47
ATP Tour Championship Tennis,16.31
Action 52,142.34
Addams Family,40.08
Adventures of Batman & Robin,86.33
Adventures of Mighty Max,23.15
Adventures of Rocky and Bullwinkle and Friends,23.35
Aero The Acro-Bat,24.83
Aero The Acro-Bat 2,214.32
Aerobiz,60.81
Aerobiz Supersonic,115.15
After Burner II,22.46
Air Buster,83.24
Air Diver,17.38
Aladdin,17.36
Alex Kidd in the Enchanted Castle,27.43
Alien 3,26.66
Alien Storm,57.82
Alisia Dragoon,100.14
Altered Beast,25.68
American Gladiators,22.39
Andre Agassi Tennis,16.67
Animaniacs,17.39
Aquatic Games starring James Pond and the Aquabats,18.50
Arcade Classics,12.00
Arch Rivals,19.41
Arcus Odyssey,100.39
Ariel: The Little Mermaid,22.02
Arnold Palmer Tournament Golf,14.76
Arrow Flash,123.55
Art Alive,9.72
Art of Fighting,29.83
Asterix and the Great Rescue,14.67
Atomic Robo-Kid,39.11
Atomic Runner,88.02
Awesome Possum,32.28
Ayrton Senna's Super Monaco GP II,22.39
B.O.B,23.61
Back to the Future Part III,61.35
Ballz 3D,17.52
Barbie Super Model,13.81
Barkley: Shut Up and Jam 2,15.41
Barkley: Shut Up and Jam!,11.35
Barney's Hide & Seek,13.57
Bass Masters Classic,12.75
Bass Masters Classic: Pro Edition,12.55
Batman,114.11
Batman Forever,17.30
Batman Returns,21.45
Batman: Revenge of the Joker,67.20
Battle Master,26.86
Battle Squadron,73.08
Battletech: A Game of Armored Combat,34.81
Battletoads,63.68
Battletoads & Double Dragon,43.19
Battletoads & Double Dragon [Cardboard],49.39
Battletoads [Cardboard Variant],81.41
Beast Wrestler,40.04
Beauty and the Beast: Belle's Quest,27.61
Beauty and the Beast: Roar of the Beast,18.74
Beavis and Butt-head,26.26
Beggar Prince,187.57
Berenstain Bears Camping Adventure,20.26
Best of the Best: Championship Karate,19.40
Beyond Oasis,86.18
Bible Adventures,150.12
Bill Walsh College Football,7.48
Bill Walsh College Football 95,10.09
Bimini Run,38.17
Bio-Hazard Battle,46.05
Blades of Vengeance,84.06
Blaster Master 2,66.91
Blockout,22.44
Bonanza Brothers,29.86
Bonkers,26.61
Boogerman: A Pick and Flick Adventure,43.89
Boxing Legends of the Ring,12.00
Bram Stoker's Dracula,19.04
Brett Hull Hockey 95,16.43
Brutal: Paws of Fury,22.96
Bubba n Stix,26.69
Bubble and Squeak,57.86
Bubsy,22.53
Bubsy II,16.14
Buck Rogers: Countdown to Doomsday,36.13
Budokan: The Martial Spirit,23.95
Bugs Bunny in Double Trouble,15.80
Bulls versus Blazers and the NBA Playoffs,13.48
Bulls vs Lakers and the NBA Playoffs,10.59
Burning Force,61.85
Cadash,73.94
Caesars Palace,10.18
Cal Ripken Jr. Baseball,12.21
Caliber .50,45.97
California Games,25.16
Captain America and the Avengers,51.62
Castle of Illusion starring Mickey Mouse,43.42
Castlevania: Bloodlines,202.16
Castlevania: Bloodlines [Cardboard],176.05
Centurion: Defender of Rome,21.26
Chakan,28.03
Champions World Class Soccer,9.84
Championship Bowling,15.77
Championship Pool,13.80
Championship Pro-Am,19.70
Chase H.Q. II,53.69
Chavez II,31.25
Chester Cheetah: Too Cool to Fool,42.30
Chester Cheetah: Wild Wild Quest,27.88
Chi Chi's Pro Challenge Golf,14.53
Chiki Chiki Boys,126.15
Chuck Rock,25.95
Chuck Rock II: Son of Chuck,29.45
ClayFighter,20.02
Cliffhanger,15.75
Clue,13.45
Coach K College Basketball,17.99
College Football USA 96,9.95
College Football USA 97,19.22
College Football's National Championship,8.25
College Football's National Championship II,9.34
College Slam,11.58
Columns,13.25
Columns III,20.45
Columns [Sega Classic],11.68
Columns [Sega Classic] [Cardboard],18.63
Combat Cars,11.77
Comix Zone,68.21
Contra: Hard Corps,120.39
Cool Spot,18.46
Cosmic Spacehead,22.28
Crack Down,54.64
CrossFire,61.44
Crue Ball,35.98
Crusader of Centy,"1,888.03"
Crystal's Pony Tale,25.29
Cutthroat Island,15.91
Cyber-Cop,22.28
Cyberball,14.27
Cyborg Justice,23.27
DJ Boy,26.10
Dark Castle,32.80
Dashin Desperadoes,31.79
David Crane's Amazing Tennis,14.21
David Robinson's Supreme Court,15.17
Davis Cup Tennis,12.24
