Sega Saturn Game Title,Sega Saturn Price
3D Baseball,60.98
Albert Odyssey: Legend of Eldean,318.30
Alien Trilogy,63.23
All-Star Baseball,56.18
Alone in the Dark: One-Eyed Jacks Revenge,36.70
Amok,28.53
Andretti Racing,14.30
Area 51,41.15
Astal,94.76
Baku Baku,32.20
Bases Loaded 96: Double Header,32.04
Batman Forever: The Arcade Game,222.22
Battle Arena Toshinden Remix,29.28
Battle Arena Toshinden URA,38.29
Battle Monsters,27.32
Battle Stations,18.17
BattleSport,570.29
Black Dawn,30.39
Black Fire,12.68
Blast Chamber,29.52
Blazing Dragons,37.26
Blazing Heroes,64.29
Bootleg Sampler,9.17
Bottom of the 9th,15.48
Brain Dead 13,90.17
Break Point Tennis,23.51
Bubble Bobble also featuring Rainbow Islands,45.73
Bug Too!,62.66
Bug!,29.87
Burning Rangers,463.72
Bust-A-Move 2 Arcade Edition,23.25
Bust-A-Move 3,85.35
Casper,52.82
Center Ring Boxing,18.44
Christmas NiGHTS Into Dreams...,54.33
Clockwork Knight,51.06
Clockwork Knight 2,109.69
College Slam,14.99
Command and Conquer,36.64
Congo the Movie: The Lost City of Zinj,40.39
Contra: Legacy of War,201.75
Corpse Killer: Graveyard Edition,49.75
Courier Crisis,101.87
Creature Shock: Special Edition,25.41
CrimeWave,44.25
Criticom,17.28
Croc: Legend of the Gobbos,55.78
Crow: City of Angels,57.25
Crusader: No Remorse,37.14
Crypt Killer,137.09
Cyber Speedway,24.98
Cyberia,33.61
D,39.84
Darius Gaiden,80.85
Dark Legend,60.06
Dark Savior,89.82
Darklight Conflict,23.22
Daytona USA,14.02
Daytona USA Championship Circuit Edition,31.31
Daytona USA Championship Circuit Edition: NetLink Edition,"1,334.63"
DecAthlete,59.70
DefCon 5,19.53
Die Hard Arcade,124.57
Die Hard Trilogy,48.42
Doom,90.85
Double Switch,32.02
Dragon Force,290.39
DragonHeart: Fire & Steel,39.34
Duke Nukem 3D,74.30
Earthworm Jim 2,104.44
Enemy Zero,149.54
F1 Challenge,20.90
FIFA Soccer 96,15.15
FIFA Soccer 97,26.96
FIFA: Road to World Cup 98,28.44
Fighters Megamix,38.26
Fighting Vipers,26.84
Frank Thomas Big Hurt Baseball,9.19
Galactic Attack,78.98
Galaxy Fight,92.07
Gex,55.58
Ghen War,29.53
Golden Axe: The Duel,124.21
Grand Slam,64.95
Grid Runner,26.52
Guardian Heroes,225.25
GunGriffon,38.47
Hang On GP,47.84
Heir of Zendor: The Legend and The Land,35.26
Herc's Adventures,287.78
Hexen,62.50
Hi-Octane: The Track Fights Back!,15.28
High Velocity: Mountain Racing Challenge,45.05
Highway 2000,61.43
Horde,41.62
House of the Dead,317.59
Hyper 3-D Pinball,16.81
Impact Racing,22.38
In the Hunt,165.02
Incredible Hulk: The Pantheon Saga,58.50
Independence Day,23.72
Iron Man X-O Manowar in Heavy Metal,37.33
Iron Storm,76.53
Johnny Bazookatone,43.98
Last Bronx,43.43
Last Gladiators Digital Pinball,21.38
Legend of Oasis,118.34
Loaded,82.59
Lost World: Jurassic Park,30.56
Lunacy,398.45
Machine Head,21.61
Madden NFL 97,9.77
Madden NFL 98,13.34
Magic Carpet,45.73
Magic Knight Rayearth,736.03
Mansion of Hidden Souls,38.53
Manx TT Super Bike,48.65
Marvel Super Heroes,146.49
Mass Destruction,31.86
Maximum Force,97.06
MechWarrior 2,31.88
Mega Man 8: Anniversary Collectors Edition,421.16
Mega Man X4,254.46
Midway Presents Arcades Greatest Hits,17.63
Midway Presents Arcades Greatest Hits: The Atari Collection 1,13.92
Minnesota Fats: Pool Legend,37.19
Mortal Kombat II,56.00
Mortal Kombat Trilogy,167.87
Mr. Bones,80.40
Myst,16.26
Mystaria: The Realms of Lore,63.11
NASCAR 98,14.57
NBA Action,16.44
NBA Action 98,30.53
NBA Jam Extreme,24.56
NBA Jam Tournament Edition,43.03
NBA Live 97,10.02
NBA Live 98,15.56
NFL 97,10.41
NFL Quarterback Club 96,16.13
NFL Quarterback Club 97,13.17
NHL 97,4.82
NHL 98,18.26
NHL All-Star Hockey,8.80
NHL All-Star Hockey 98,10.04
NHL PowerPlay 96,10.72
NiGHTS Into Dreams...,69.79
NiGHTS Into Dreams... [Controller Bundle],168.16
Night Warriors: DarkStalkers Revenge,102.98
Norse by Norsewest: The Return of The Lost Vikings,90.10
Off-World Interceptor Extreme,17.31
Olympic Soccer: Atlanta 1996,40.97
P.T.O. II: Pacific Theater of Operations,26.66
PGA Tour 97,19.91
Pandemonium!,72.34
Panzer Dragoon,81.66
Panzer Dragoon II Zwei,111.00
Panzer Dragoon Saga,942.30
Pebble Beach Golf Links,18.85
PowerSlave,272.70
Primal Rage,99.33
Pro Pinball,22.53
Quake,110.65
Quarterback Attack with Mike Ditka,14.64
